@relation train_data
@attribute GarageType real
@attribute LotShape real
@attribute BsmtQual real
@attribute GarageCars real
@attribute HeatingQC real
@attribute GarageArea real
@attribute OverallQual real
@attribute ExterQual real
@attribute KitchenQual real
@attribute YearBuilt real
@attribute SalePriceCategorical{House_Price_1,House_Price_2,House_Price_3,House_Price_4,House_Price_5}
@data
1,3,0,2,0,405,6,3,3,1998,"House_Price_3"
1,3,2,3,0,758,8,3,2,2007,"House_Price_5"
5,0,4,2,2,461,5,3,3,1960,"House_Price_2"
3,0,2,2,2,400,7,3,3,1995,"House_Price_3"
1,3,2,2,0,462,8,2,2,1991,"House_Price_5"
3,1,2,2,0,400,6,2,2,2005,"House_Price_3"
5,3,2,2,0,528,6,2,2,2009,"House_Price_3"
6,0,4,0,4,0,3,1,1,1915,"House_Price_1"
6,3,2,0,0,0,4,3,3,1994,"House_Price_1"
5,3,3,2,4,420,4,3,3,1950,"House_Price_1"
1,3,4,2,4,480,5,3,3,1961,"House_Price_1"
5,0,2,2,0,432,5,3,3,1921,"House_Price_3"
5,3,4,2,0,506,6,3,3,1910,"House_Price_2"
1,0,2,2,0,684,6,3,2,1997,"House_Price_4"
3,1,2,2,2,420,6,0,3,1993,"House_Price_4"
1,0,2,2,0,472,7,2,2,1999,"House_Price_4"
1,3,4,1,4,432,4,3,3,1965,"House_Price_1"
2,3,4,1,1,366,5,3,3,1920,"House_Price_1"
6,0,4,0,1,0,4,3,3,1959,"House_Price_2"
1,0,4,2,2,480,6,3,2,1977,"House_Price_4"
1,3,2,2,4,476,6,2,2,1985,"House_Price_3"
1,3,3,2,4,410,5,3,3,1979,"House_Price_1"
1,0,2,3,0,740,7,3,2,2009,"House_Price_4"
5,3,4,1,0,240,7,3,3,1931,"House_Price_3"
1,3,0,2,0,648,8,2,2,2003,"House_Price_5"
5,3,1,1,2,273,4,3,3,1885,"House_Price_1"
5,3,4,1,0,250,5,3,3,1948,"House_Price_1"
6,3,4,0,4,0,5,3,1,1919,"House_Price_1"
1,0,2,2,0,546,6,3,3,1977,"House_Price_4"
1,3,4,1,2,325,6,3,3,1954,"House_Price_2"
3,0,2,2,0,400,7,3,3,2000,"House_Price_4"
3,3,0,3,0,792,7,2,0,2007,"House_Price_5"
2,3,2,2,4,450,6,3,2,1953,"House_Price_4"
5,0,4,1,0,180,6,3,2,1945,"House_Price_5"
5,3,2,2,2,440,6,3,3,1999,"House_Price_3"
1,3,4,1,4,288,5,3,3,1962,"House_Price_2"
1,3,2,2,2,430,5,3,3,2006,"House_Price_3"
1,3,2,3,2,594,7,3,2,1990,"House_Price_5"
1,3,2,2,0,390,6,2,2,2005,"House_Price_3"
1,0,4,2,0,540,6,3,3,1969,"House_Price_4"
5,3,4,1,2,264,4,3,3,1939,"House_Price_1"
1,3,4,1,2,288,6,3,3,1958,"House_Price_2"
1,3,2,2,0,530,6,2,2,1993,"House_Price_3"
1,0,2,2,4,435,6,3,3,1979,"House_Price_4"
6,3,4,0,2,0,6,3,3,1935,"House_Price_1"
1,0,2,2,4,440,6,3,3,1976,"House_Price_2"
6,0,4,0,0,0,5,3,3,1930,"House_Price_1"
1,3,4,2,4,453,6,3,3,1966,"House_Price_3"
0,3,4,2,4,750,5,3,0,1958,"House_Price_3"
1,3,4,2,0,487,7,3,2,1966,"House_Price_4"
3,0,2,2,0,390,6,2,2,2000,"House_Price_5"
5,3,4,2,2,624,5,3,2,1959,"House_Price_3"
1,0,0,2,0,471,8,2,2,2001,"House_Price_4"
1,0,4,2,2,440,5,3,3,1968,"House_Price_4"
1,3,4,2,2,530,7,3,3,1970,"House_Price_3"
1,0,4,1,4,318,5,3,3,1967,"House_Price_2"
0,3,4,3,2,766,7,3,3,1988,"House_Price_3"
1,0,2,3,0,660,8,2,2,1999,"House_Price_5"
1,0,2,2,0,470,6,3,2,1997,"House_Price_5"
6,3,4,0,4,0,4,3,3,1971,"House_Price_1"
1,3,2,2,0,660,7,2,2,2005,"House_Price_5"
5,3,4,2,1,720,5,3,3,1952,"House_Price_3"
1,0,2,2,0,577,7,2,2,1999,"House_Price_4"
5,3,4,2,4,504,5,3,3,1963,"House_Price_2"
5,3,2,2,0,380,6,2,2,2004,"House_Price_2"
5,3,4,1,4,180,5,3,3,1931,"House_Price_1"
3,0,2,2,0,434,7,2,2,2001,"House_Price_4"
6,3,2,0,0,0,7,3,2,2004,"House_Price_2"
5,3,2,1,2,240,5,3,3,1936,"House_Price_1"
1,3,4,2,4,440,5,3,3,1975,"House_Price_1"
1,3,0,3,0,866,8,2,2,2007,"House_Price_5"
1,0,4,2,2,495,6,3,3,1971,"House_Price_4"
1,3,2,2,2,564,6,3,3,1960,"House_Price_5"
5,3,4,1,4,312,6,3,3,1923,"House_Price_2"
6,3,4,0,1,0,6,3,3,1924,"House_Price_1"
5,3,3,2,4,625,5,3,3,1950,"House_Price_1"
3,3,0,3,0,680,8,2,0,2009,"House_Price_5"
1,3,2,2,0,678,7,2,2,2004,"House_Price_5"
1,0,2,2,0,576,7,2,2,2005,"House_Price_5"
1,0,2,2,4,516,6,3,3,1984,"House_Price_3"
3,0,0,3,0,726,9,2,0,2003,"House_Price_5"
1,3,2,2,0,532,7,2,2,2005,"House_Price_4"
6,3,4,0,0,0,4,3,3,1956,"House_Price_1"
5,3,4,1,2,216,6,3,2,1926,"House_Price_3"
6,3,4,0,2,0,5,3,3,1940,"House_Price_2"
1,0,4,1,0,303,5,2,3,1955,"House_Price_4"
1,3,0,3,0,789,8,2,0,2007,"House_Price_5"
1,0,2,2,0,440,7,2,2,2004,"House_Price_4"
1,0,2,2,4,511,8,2,3,1981,"House_Price_4"
5,0,4,2,4,660,5,3,3,1941,"House_Price_2"
1,0,4,2,1,528,6,3,3,1960,"House_Price_4"
1,0,2,2,2,504,7,2,2,1987,"House_Price_5"
1,0,4,2,4,504,6,3,3,1961,"House_Price_3"
1,0,2,2,4,616,6,3,3,1986,"House_Price_4"
1,3,4,2,4,576,6,3,2,1950,"House_Price_5"
1,0,2,2,4,521,6,2,3,1988,"House_Price_4"
1,3,4,2,0,451,5,2,2,1958,"House_Price_3"
1,0,0,3,0,1166,9,0,0,2008,"House_Price_5"
5,3,4,2,4,480,5,2,3,1923,"House_Price_1"
5,3,2,2,0,440,6,2,2,2000,"House_Price_3"
5,3,1,1,2,216,7,3,3,1920,"House_Price_4"
1,3,3,1,0,252,5,3,3,1957,"House_Price_1"
5,3,2,2,0,484,7,3,2,2003,"House_Price_4"
1,0,1,2,2,576,5,3,3,1908,"House_Price_2"
5,1,4,3,0,840,10,2,0,1892,"House_Price_5"
1,0,2,2,0,497,7,3,2,1990,"House_Price_3"
5,3,1,1,0,180,5,3,3,1916,"House_Price_2"
5,3,2,2,4,528,5,3,3,1979,"House_Price_3"
1,3,0,2,0,682,8,2,0,2001,"House_Price_5"
5,3,2,2,4,440,8,2,2,1932,"House_Price_5"
1,0,4,2,2,484,7,3,2,1972,"House_Price_4"
1,0,2,2,0,666,7,2,2,1999,"House_Price_4"
5,3,2,2,0,380,7,2,2,2004,"House_Price_2"
5,0,4,1,4,352,5,3,3,1972,"House_Price_2"
1,3,2,2,4,440,6,3,3,1976,"House_Price_3"
1,3,0,3,0,786,7,0,0,2007,"House_Price_5"
5,3,4,2,2,795,8,2,2,1918,"House_Price_5"
6,3,4,0,0,0,6,3,3,1912,"House_Price_1"
1,3,0,3,0,856,8,2,0,2004,"House_Price_5"
1,3,2,2,0,440,4,3,3,2003,"House_Price_2"
5,3,4,2,4,473,6,3,3,1977,"House_Price_3"
1,3,1,1,2,398,6,3,3,1924,"House_Price_1"
1,3,2,2,0,420,6,2,2,2004,"House_Price_3"
5,3,4,1,4,240,5,3,3,1947,"House_Price_1"
1,3,2,2,0,500,7,3,3,1990,"House_Price_4"
1,0,4,1,4,349,5,3,3,1962,"House_Price_2"
1,0,4,1,4,312,4,3,3,1960,"House_Price_2"
1,0,2,2,0,454,7,2,3,1988,"House_Price_5"
1,3,2,2,0,504,6,3,3,1964,"House_Price_2"
6,3,4,0,4,0,5,3,3,1925,"House_Price_1"
1,3,2,2,0,460,6,3,2,2009,"House_Price_4"
1,3,2,2,0,644,7,3,2,2009,"House_Price_5"
1,1,2,2,0,576,5,3,3,1995,"House_Price_3"
1,0,2,1,0,299,6,3,3,1977,"House_Price_3"
1,0,4,1,4,447,5,3,2,1957,"House_Price_2"
1,3,2,2,0,484,7,2,2,2004,"House_Price_4"
5,3,4,1,1,210,4,3,3,1925,"House_Price_1"
1,0,4,2,0,431,7,2,2,1939,"House_Price_5"
1,3,2,2,0,438,7,2,2,2005,"House_Price_3"
1,0,2,2,0,675,7,2,2,2006,"House_Price_4"
3,0,2,2,0,390,6,2,2,2002,"House_Price_4"
1,3,2,2,4,434,6,3,3,1975,"House_Price_4"
5,3,4,2,2,576,4,3,3,1971,"House_Price_1"
1,3,0,3,0,968,10,0,0,2003,"House_Price_5"
5,3,4,1,4,280,5,3,3,1971,"House_Price_1"
1,0,2,3,0,721,7,2,2,1995,"House_Price_5"
5,3,4,1,4,280,6,3,3,1970,"House_Price_1"
5,3,4,1,4,336,5,3,3,1967,"House_Price_2"
1,3,2,2,0,430,7,2,2,2005,"House_Price_4"
1,3,4,1,4,312,6,3,3,1959,"House_Price_3"
1,0,2,3,0,810,8,2,0,1995,"House_Price_5"
1,3,4,1,4,288,6,3,3,1972,"House_Price_1"
1,3,4,1,4,308,5,3,3,1976,"House_Price_2"
5,3,4,1,4,264,6,3,3,1971,"House_Price_4"
1,3,2,2,0,494,7,2,2,2004,"House_Price_4"
1,0,2,2,0,457,7,2,2,1993,"House_Price_5"
1,3,0,3,0,818,8,0,2,2007,"House_Price_1"
5,3,4,1,4,220,6,3,3,1945,"House_Price_5"
1,3,2,2,0,750,8,2,2,2008,"House_Price_1"
6,3,4,0,2,0,5,3,2,1945,"House_Price_1"
1,3,4,1,2,352,5,3,3,1900,"House_Price_1"
1,3,2,1,4,288,6,3,3,1980,"House_Price_4"
1,0,2,2,0,463,7,2,2,1994,"House_Price_5"
1,3,2,2,2,604,7,3,3,1988,"House_Price_2"
5,3,1,1,2,440,6,3,1,1910,"House_Price_2"
1,3,4,2,0,451,6,3,3,1954,"House_Price_4"
1,3,2,2,0,500,7,2,2,2003,"House_Price_5"
1,1,2,2,2,389,6,2,2,1958,"House_Price_1"
6,0,4,0,0,0,3,3,1,1940,"House_Price_5"
1,0,2,2,0,538,8,2,2,2006,"House_Price_3"
1,0,2,2,0,520,6,2,2,2004,"House_Price_3"
1,3,2,1,0,309,6,3,2,1964,"House_Price_2"
1,3,4,1,4,294,5,3,3,1957,"House_Price_5"
3,0,2,2,0,429,7,2,2,1999,"House_Price_4"
1,0,2,2,0,673,6,2,2,2003,"House_Price_4"
1,3,2,2,0,660,7,2,2,2006,"House_Price_5"
1,3,2,2,0,564,7,2,2,2001,"House_Price_1"
5,3,3,1,2,308,5,3,3,1956,"House_Price_3"
1,3,4,2,4,884,6,3,3,1962,"House_Price_5"
3,0,0,3,0,868,8,2,0,2007,"House_Price_3"
1,0,2,2,4,492,6,3,3,1977,"House_Price_2"
5,3,4,2,4,484,5,3,3,1929,"House_Price_1"
5,2,1,2,2,504,5,3,3,1925,"House_Price_3"
1,0,2,2,4,576,6,3,2,1981,"House_Price_4"
1,0,2,2,2,413,6,3,3,1997,"House_Price_4"
5,3,4,1,0,240,5,3,2,1939,"House_Price_1"
5,3,4,1,0,924,5,3,3,1940,"House_Price_3"
1,0,4,1,4,504,6,3,3,1976,"House_Price_5"
1,3,2,3,2,1053,8,2,2,2006,"House_Price_5"
1,0,2,2,0,439,7,3,3,1954,"House_Price_5"
1,0,2,3,0,671,8,2,2,1999,"House_Price_2"
1,3,4,1,2,338,6,3,3,1958,"House_Price_2"
1,3,4,1,4,264,5,3,3,1982,"House_Price_4"
5,3,4,2,2,672,7,2,0,1925,"House_Price_4"
1,0,0,2,0,573,7,2,2,2003,"House_Price_2"
5,3,4,2,0,400,4,3,3,1951,"House_Price_5"
1,3,0,3,0,732,9,0,0,2006,"House_Price_4"
1,3,2,2,0,505,7,3,3,1977,"House_Price_4"
1,3,2,2,2,575,7,2,2,1989,"House_Price_4"
1,3,2,2,2,572,6,2,2,2006,"House_Price_4"
1,3,2,2,0,626,7,2,2,2007,"House_Price_5"
1,3,2,3,0,898,8,2,2,2008,"House_Price_4"
1,3,2,2,2,529,6,2,2,1992,"House_Price_3"
5,0,2,2,0,528,7,2,2,2006,"House_Price_3"
1,0,4,2,4,440,6,3,2,1962,"House_Price_1"
6,0,4,0,4,0,4,3,3,1971,"House_Price_1"
5,0,4,1,4,280,5,3,3,1967,"House_Price_3"
5,3,4,1,0,384,6,3,3,1915,"House_Price_5"
1,3,2,2,0,685,8,2,2,2006,"House_Price_2"
6,3,4,0,0,0,5,3,1,1912,"House_Price_2"
1,3,4,1,2,281,5,3,3,1949,"House_Price_5"
1,0,4,2,1,539,7,3,2,1977,"House_Price_3"
1,3,4,2,4,418,6,3,3,1953,"House_Price_2"
5,0,4,2,4,588,6,3,3,1984,"House_Price_3"
1,3,4,1,4,282,5,3,3,1950,"House_Price_5"
5,0,2,2,0,576,7,2,2,1997,"House_Price_3"
1,3,4,2,2,539,6,2,3,1968,"House_Price_3"
1,3,4,1,0,300,6,3,2,1950,"House_Price_3"
1,3,4,1,4,375,5,3,3,1953,"House_Price_5"
3,2,2,2,0,683,8,2,2,1998,"House_Price_4"
1,0,2,3,0,843,7,2,2,2001,"House_Price_3"
1,3,4,2,4,552,5,3,3,1972,"House_Price_5"
1,3,4,3,0,870,7,3,2,1880,"House_Price_5"
1,3,2,3,0,888,8,2,2,2004,"House_Price_4"
1,3,2,3,2,746,7,2,2,1990,"House_Price_1"
6,0,4,0,4,0,6,3,1,1920,"House_Price_1"
5,0,4,2,0,539,4,3,3,1940,"House_Price_5"
1,0,0,3,0,708,9,2,0,2003,"House_Price_3"
1,0,2,2,2,420,6,3,2,1993,"House_Price_2"
5,3,4,1,0,240,6,3,3,1948,"House_Price_1"
5,3,2,2,4,410,5,3,3,1939,"House_Price_5"
1,2,2,2,4,513,7,3,3,1965,"House_Price_3"
5,3,4,2,0,546,7,3,0,1925,"House_Price_4"
1,0,2,2,0,432,7,2,2,2004,"House_Price_5"
1,0,2,2,4,484,7,2,0,1980,"House_Price_5"
1,3,2,3,0,1025,8,2,2,2006,"House_Price_5"
1,3,2,3,0,656,7,2,2,1993,"House_Price_4"
1,3,2,2,4,588,7,3,3,1980,"House_Price_5"
1,3,0,3,0,840,9,3,2,2006,"House_Price_5"
3,0,0,3,0,872,8,2,2,2004,"House_Price_5"
1,0,4,2,0,576,7,2,2,1986,"House_Price_2"
1,3,4,1,0,220,3,3,3,1955,"House_Price_5"
3,3,2,2,0,564,7,2,2,1967,"House_Price_1"
5,3,4,2,3,360,5,3,3,1941,"House_Price_5"
1,0,2,2,0,473,8,2,2,1993,"House_Price_2"
1,3,4,1,4,292,6,3,3,1960,"House_Price_4"
5,0,4,2,2,441,6,3,2,1916,"House_Price_1"
5,3,4,1,4,189,5,3,3,1920,"House_Price_1"
5,0,4,1,4,352,5,3,3,1964,"House_Price_2"
1,3,4,1,1,308,5,3,3,1958,"House_Price_5"
1,0,2,3,0,880,8,2,2,2003,"House_Price_4"
1,3,2,2,0,484,7,2,2,2004,"House_Price_4"
1,0,2,2,2,472,6,3,3,1998,"House_Price_4"
1,0,4,2,0,529,5,3,3,1965,"House_Price_5"
1,0,0,3,0,676,9,2,2,2005,"House_Price_4"
1,3,2,2,0,532,7,2,2,2002,"House_Price_4"
1,3,2,2,0,440,7,2,2,1984,"House_Price_3"
1,0,4,1,4,297,6,3,3,1958,"House_Price_4"
1,3,2,2,0,431,8,2,2,2002,"House_Price_1"
4,3,4,1,2,294,4,1,3,1950,"House_Price_1"
5,3,3,2,1,400,3,3,3,1949,"House_Price_5"
1,0,0,2,0,564,9,0,0,2005,"House_Price_1"
1,3,2,1,4,336,5,3,3,1976,"House_Price_2"
5,3,4,1,2,312,6,3,1,1939,"House_Price_3"
1,0,4,1,4,301,6,3,3,1960,"House_Price_3"
1,0,4,2,0,498,6,3,3,1960,"House_Price_3"
3,3,2,2,0,474,7,2,2,2003,"House_Price_5"
1,1,0,3,0,706,9,0,0,2005,"House_Price_5"
1,0,0,2,0,617,9,0,0,2007,"House_Price_4"
1,0,2,2,2,445,7,3,2,1986,"House_Price_1"
5,3,4,1,4,200,5,3,3,1941,"House_Price_1"
5,3,4,2,2,484,6,3,3,1928,"House_Price_2"
1,3,4,1,0,240,6,3,3,1940,"House_Price_3"
1,1,2,2,0,521,6,2,2,1995,"House_Price_3"
1,0,2,2,2,400,6,3,2,1992,"House_Price_2"
1,3,2,2,4,528,5,3,3,1976,"House_Price_2"
3,0,4,1,0,288,5,3,2,1958,"House_Price_5"
1,0,2,2,0,592,8,2,2,1998,"House_Price_3"
1,0,2,2,0,470,6,3,3,1978,"House_Price_2"
5,3,4,1,2,240,5,3,3,1940,"House_Price_4"
3,3,3,2,0,672,7,2,2,2003,"House_Price_1"
5,3,4,1,2,264,6,3,2,1972,"House_Price_4"
1,0,2,2,4,566,6,3,3,1976,"House_Price_3"
5,3,4,1,2,468,5,3,3,1920,"House_Price_3"
1,0,2,2,2,514,6,3,3,1963,"House_Price_3"
2,0,2,1,2,296,6,3,3,1962,"House_Price_2"
1,3,4,1,2,244,5,3,3,1954,"House_Price_3"
5,0,4,2,0,576,5,3,2,1959,"House_Price_3"
1,0,2,2,0,460,6,3,3,2000,"House_Price_2"
5,3,3,2,4,680,4,3,3,1959,"House_Price_2"
1,3,2,1,4,264,6,3,3,1984,"House_Price_1"
1,3,4,1,4,270,5,3,3,1953,"House_Price_4"
3,3,2,2,0,434,7,2,2,2003,"House_Price_1"
6,0,1,0,2,0,1,1,1,1922,"House_Price_3"
5,0,2,2,0,576,5,2,3,1996,"House_Price_5"
1,0,2,2,0,610,8,2,2,2004,"House_Price_5"
1,3,0,3,0,834,9,2,0,2010,"House_Price_4"
1,0,2,2,0,463,6,3,3,2000,"House_Price_2"
5,3,4,1,4,308,5,3,2,1924,"House_Price_4"
1,3,2,2,0,572,7,2,2,2006,"House_Price_4"
1,0,2,2,0,639,7,2,2,2006,"House_Price_1"
5,3,1,2,4,360,6,3,3,1928,"House_Price_5"
1,1,2,2,0,501,6,2,2,1992,"House_Price_4"
1,3,2,2,0,430,8,2,2,2004,"House_Price_1"
6,3,4,0,4,0,5,3,3,1910,"House_Price_2"
5,3,4,1,0,352,6,3,3,1976,"House_Price_4"
1,0,2,2,0,577,7,2,2,1999,"House_Price_5"
3,3,0,3,0,846,10,0,0,2007,"House_Price_1"
5,3,4,1,0,384,5,3,3,1900,"House_Price_4"
3,0,0,2,0,560,6,3,2,2001,"House_Price_1"
1,0,3,1,4,294,5,3,3,1959,"House_Price_1"
6,3,4,0,4,0,4,3,3,1941,"House_Price_1"
5,3,4,1,2,240,5,3,3,1940,"House_Price_2"
1,3,4,1,4,596,5,3,3,1956,"House_Price_1"
5,3,4,2,4,600,5,3,3,1972,"House_Price_3"
1,3,4,1,4,264,5,3,3,1962,"House_Price_1"
5,3,1,1,2,338,5,3,3,1920,"House_Price_5"
1,3,2,2,0,438,7,2,2,2006,"House_Price_5"
1,1,2,2,0,500,8,2,0,1996,"House_Price_3"
1,0,2,2,0,400,7,2,2,2005,"House_Price_1"
5,3,4,1,0,240,5,3,3,1940,"House_Price_5"
3,3,2,2,2,420,8,2,2,1998,"House_Price_3"
3,0,2,2,2,373,6,3,3,1995,"House_Price_3"
1,0,4,2,0,490,4,3,3,1976,"House_Price_1"
5,3,4,1,0,240,6,3,3,1936,"House_Price_3"
1,3,2,1,0,308,6,3,3,1915,"House_Price_5"
1,3,0,3,0,947,7,2,2,2006,"House_Price_5"
1,3,0,3,0,836,8,2,0,2007,"House_Price_1"
1,3,4,1,4,350,5,3,3,1958,"House_Price_2"
1,3,4,2,4,572,5,3,3,1955,"House_Price_4"
1,1,0,2,0,484,7,0,2,2009,"House_Price_1"
5,3,4,2,2,360,5,3,3,1927,"House_Price_4"
1,1,2,3,0,678,7,2,2,1993,"House_Price_4"
1,0,2,2,0,396,7,2,2,2007,"House_Price_3"
1,3,4,2,4,440,6,3,3,1978,"House_Price_5"
5,0,2,3,4,864,6,3,3,1918,"House_Price_2"
5,3,4,1,1,240,5,3,3,1940,"House_Price_2"
1,3,4,1,0,304,5,3,3,1968,"House_Price_4"
1,3,2,4,0,784,7,3,3,1997,"House_Price_4"
1,0,2,2,2,529,6,2,2,1977,"House_Price_1"
1,3,4,2,0,520,5,3,3,1954,"House_Price_5"
1,3,2,3,2,696,8,2,2,1998,"House_Price_2"
1,3,2,1,2,297,6,3,3,1956,"House_Price_2"
5,3,4,1,2,240,7,3,3,1946,"House_Price_5"
1,3,2,2,2,569,7,2,2,1989,"House_Price_1"
5,0,4,1,0,352,4,3,3,1957,"House_Price_4"
1,3,2,2,0,628,7,2,2,2007,"House_Price_3"
1,0,2,2,4,576,6,3,2,1988,"House_Price_1"
5,3,4,1,4,264,6,3,3,1971,"House_Price_1"
6,0,4,0,2,0,6,3,3,1920,"House_Price_1"
5,3,4,2,0,440,5,3,3,1971,"House_Price_4"
1,0,2,2,0,470,6,3,3,1997,"House_Price_1"
6,3,2,0,2,0,4,3,3,1972,"House_Price_4"
1,1,2,2,0,550,7,2,2,1996,"House_Price_1"
5,3,1,2,4,440,6,3,3,1920,"House_Price_1"
5,3,4,1,2,180,6,2,3,1926,"House_Price_1"
5,3,4,1,4,352,5,3,2,1913,"House_Price_1"
5,3,4,2,2,528,6,3,2,1920,"House_Price_5"
1,3,0,3,0,672,10,0,0,2008,"House_Price_1"
6,3,4,0,4,0,4,3,1,1955,"House_Price_3"
5,3,4,2,4,360,5,3,3,1930,"House_Price_3"
1,3,0,3,0,648,7,2,2,2006,"House_Price_4"
1,3,2,2,0,493,7,2,2,1994,"House_Price_2"
1,3,4,2,1,480,6,3,3,1956,"House_Price_4"
1,0,4,2,0,578,6,2,2,1966,"House_Price_4"
1,0,2,2,2,431,7,2,2,1998,"House_Price_1"
5,3,4,1,4,198,6,3,3,1937,"House_Price_1"
5,3,4,1,0,308,3,3,3,1948,"House_Price_1"
5,3,4,1,0,270,6,3,2,1930,"House_Price_5"
1,0,2,2,4,576,7,3,2,1975,"House_Price_4"
1,0,0,2,0,422,6,2,3,1996,"House_Price_4"
1,3,2,2,0,676,8,2,2,2008,"House_Price_4"
5,3,4,2,4,560,5,3,3,1976,"House_Price_3"
1,3,4,2,1,528,7,3,3,1973,"House_Price_1"
